ID,age1,age2,GF1,GF2,GAK1,GAK2,Female,GC1,GC2,GQ1,GQ2
2800,8,9,495,511,467,479.33,0,470,479,471,497
2801,10,11.5,517.5,518.5,516.33,519.67,1,513,519,507,502
2802,9,10.25,507,496.5,491.33,493.33,1,510,507,497,502
2803,9,10,493,495,490,491.33,1,482,482,492,502
2820,14,17.25,516,521.5,524.67,535,1,516,532,545,539
2827,15,16.08,531,540.5,525,535,0,519,516,556,566
2838,7,7.83,492.5,499.5,485.33,491.33,0,486,486,481,481
2870,15,15.83,498.5,494.5,501.33,498.67,1,500,507,507,512
2876,10,10.58,504,508.5,502.67,509.33,1,503,522,492,497
2877,9,10.17,481,495.5,482.33,490.33,1,486,489,481,481
2878,10,11.58,523,525,534.33,533,0,531,534,517,539
2881,6,7.42,501,506,484,490,0,479,482,476,497
2885,11,12.33,497.5,509.5,514.67,512.67,1,519,525,522,517
2898,11,12.08,477.5,487,492.67,497.67,1,486,476,497,492
2899,6,7.33,473.5,469,438,456.33,0,455,464,442,437
2900,10,10.92,471,487,475,472,0,467,479,471,476
2901,7,8.08,479,490,467,475,1,482,489,461,466
2915,8,9.33,480,482,489,494.67,0,479,486,476,487
2934,5,5.75,,,465.33,454.67,0,,,437,437
2935,9,10.5,509.5,508.5,512.67,514.67,1,513,500,517,512
2963,7,8.42,468.5,471,464.33,467.33,0,464,470,466,466
2965,16,17.58,511,506.5,522.67,531,0,522,522,502,497
2974,9,10.42,513,519.5,506,507.67,1,507,516,507,517
2987,9,10.25,512,516.5,540,542.33,0,537,543,539,551
2990,10,11.17,502.5,500.5,501,513,0,500,503,512,512
2994,13,16.33,491,516,506,507.67,1,503,526,512,522
2997,12,13.25,507,508,500,511,1,510,510,497,507
2998,8,9.5,477,486,481,485.33,1,476,482,466,481
3000,11,12.5,505,516.5,504.33,516,1,516,510,517,517
3004,20,21.42,516.5,521.5,530,548,0,537,540,561,572
3013,9,10.17,493,510,491.33,514.33,1,503,522,487,517
3014,9,10.08,504,496,491.33,516.33,1,507,510,492,502
3019,13,22,540.5,523.5,521,,0,519,538,539,
3034,17,24,534.5,533.5,543.33,538,0,534,558,566,556
3036,13,14.42,498,511,497.67,506.33,0,500,503,497,502
3038,17,17.75,489.5,514.5,536.67,540,0,537,534,539,539
3042,5,6,,,474.67,488.33,1,,,452,461
3053,19,20.08,528.5,525,534.33,533,1,543,543,556,556
3074,5,6,,,453,467,1,,,428,452
3090,5,5.92,,,444.67,448,0,,,418,413
3102,6,7.33,452,472.5,451.33,459.67,0,458,467,442,447
3104,15,24,529,539,545.67,538.67,1,540,554,572,553
3107,7,10.58,471.5,500,488.67,517.67,0,486,512,471,512
3111,9,12.17,499.5,505.5,490,507.33,1,493,512,502,512
3117,16,19.5,506.5,517,538,534.33,1,525,542,528,539
3129,6,9.83,452.5,484,456,490,0,448,491,447,471
3134,9,12.92,501.5,507,502.67,527.67,0,503,535,497,517
3136,7,10.75,482,495,474.67,491.67,1,479,495,461,497
3301,19,19.75,541.5,526.5,550.67,541.67,0,553,543,551,551
3331,18,18.92,529,534.5,555,558,0,546,543,577,584
3369,18,18.75,526.5,523,537.67,539.67,1,543,543,551,534
3370,19,19.83,479,475.5,516,507.67,0,510,516,507,534
3376,20,21.33,513,525.5,539.67,541.67,0,531,537,545,556
3382,20,20.5,507.5,508.5,526,529.67,0,516,516,528,528
3390,19,22,514.5,517,526,519.33,1,519,526,512,512
3408,18,18.58,523,505.5,530.33,525,1,528,543,539,528
3415,14,14.75,525,534.5,539,539,1,540,546,534,528
3440,14,15,518,519.5,521.33,530.67,1,519,525,539,528
3466,16,19.42,528.5,520,529.33,532,0,549,542,534,534
3476,19,20.17,527.5,534.5,555.67,553.67,0,564,575,584,584
3501,8,9.08,501,507.5,497.67,504.67,1,500,500,481,487
3502,8,9.25,496.5,495,473.67,467.33,0,464,473,461,471
3507,8,8.83,517.5,532.5,497.67,504.33,1,500,503,507,517
3530,5,5.58,,,456,460.33,1,,,428,428
3536,19,19.67,504,505.5,526,538,0,553,556,534,528
3538,20,21,497.5,502,506,507.67,0,482,500,512,507
3545,20,20.75,509.5,516,541.67,546.33,0,543,549,528,545
3546,18,18.75,501.5,515,523,521,0,546,543,522,528
3585,17,19.67,495.5,489.5,503.33,506,1,486,502,502,476
3609,19,19.5,525.5,534,548,543.33,0,556,556,566,545
3613,5,6.17,,,430.67,446,0,,,397,397
3661,17,17.58,523,532.5,547.67,548,0,546,549,556,545
3667,19,19.58,516.5,511.5,531.33,524.33,1,519,543,502,545
3677,20,20.58,517.5,532.5,514.67,514.67,0,519,525,517,522
3684,16,17.08,492.5,504,513,512.33,0,510,516,528,534
3690,19,19.83,481.5,483.5,484,478.33,0,464,458,466,471
3692,19,23,526.5,521.5,527.67,536.33,0,537,542,512,534
